Date,Category
2018-09-06,extraordinary
2018-09-07,extraordinary
2018-09-12,cat0
2018-10-09,extraordinary
2018-10-10,extraordinary
2018-10-14,catastrophic
2018-10-15,catastrophic
2018-10-18,catastrophic
2018-10-19,catastrophic
2018-10-20,catastrophic
2018-11-15,catastrophic
2018-11-18,extraordinary
2019-07-27,extraordinary
2019-08-12,extraordinary
2019-08-27,cat0
2019-09-02,cat0
2019-09-08,cat0
2019-09-21,extraordinary
2019-10-21,major_catastrophic
2019-10-22,major_catastrophic
2019-10-23,major_catastrophic
2019-12-04,cat0
2019-12-05,cat0
2019-12-19,cat0
2019-12-20,cat0
2019-12-21,cat0
2019-12-22,cat0
2020-01-19,catastrophic
2020-01-20,catastrophic
2020-01-21,catastrophic
2020-01-22,catastrophic
2020-01-23,catastrophic
2020-04-18,extraordinary
2020-04-19,extraordinary
2020-04-20,extraordinary
2020-04-21,extraordinary
2020-06-25,cat0
2020-08-28,cat0
2020-08-29,cat0
2020-08-30,cat0
2020-09-22,extraordinary
2020-10-10,cat0
2020-11-28,cat0
2020-12-18,cat0
